OID_,CID,view_zenith_mean_1,view_azimuth_mean_1,sun_azimuth_1,sun_zenith_1,B2_1,B3_1,B4_1,B5_1,B6_1,B7_1,B8A_1,B11_1,B12_1,flagsbyfiveall_1,lcdetail_fine_1,lcselectedint,LAI_1,CWC_1,CAB_1
,2,5.5122876,270.0430603,48.7170982,27.6289997,0.0161000,0.0241000,0.0113000,0.0418000,0.1627000,0.2039000,0.2379000,0.0785000,0.0307000,1,1.0000000,1,2.7350700,0.0120300,21.6876202
,2,2.3241329,300.4655457,48.1147003,28.5881004,0.0301000,0.0528000,0.0244000,0.0923000,0.3457000,0.4401000,0.4806000,0.1782000,0.0672000,1,1.0000000,1,3.8229301,0.0055600,15.8764296
,2,5.8946509,270.9580078,49.7159996,26.9701004,0.0232000,0.0440000,0.0206000,0.0810000,0.2434000,0.3051000,0.3385000,0.0848000,0.0305000,1,1.0000000,1,3.5265801,0.0111800,13.4154301
,2,2.6132967,130.6829224,50.2621002,27.9321995,0.0197000,0.0350000,0.0179000,0.0650000,0.2348000,0.3088000,0.3345000,0.1383000,0.0580000,1,1.0000000,1,2.8950300,0.0079400,21.7764301
,2,5.4898529,87.9264297,49.2849998,29.0174999,0.0346000,0.0555000,0.0338000,0.0979000,0.2866000,0.3488000,0.3918000,0.1632000,0.0659000,1,1.0000000,1,2.7323000,0.0092100,18.9815598
,2,5.2388592,87.3444748,50.6016006,28.1720009,0.0162000,0.0368000,0.0163000,0.0691000,0.2661000,0.3122000,0.3524000,0.1387000,0.0523000,1,1.0000000,1,2.7933199,0.0088400,20.6159000
,2,1.2629312,196.5302429,50.8021011,27.2540016,0.0168500,0.0461000,0.0186500,0.0821000,0.3548000,0.3984000,0.4400000,0.1800000,0.0704500,1,1.0000000,1,3.2904401,0.0060300,19.5500793
,2,2.2354200,67.1020203,51.2131996,27.3138008,0.0129000,0.0298000,0.0180000,0.0663000,0.1950000,0.2518000,0.2876000,0.1073000,0.0414000,1,1.0000000,1,2.4980600,0.0115700,20.3968391
,2,5.6826959,270.4639893,48.5803986,27.6842003,0.0192000,0.0396000,0.0164000,0.0636000,0.2349000,0.3015000,0.3259000,0.1316000,0.0540000,1,1.0000000,1,2.8482399,0.0082200,20.6685791
,2,5.7042394,88.4149094,49.2033997,29.1054993,0.0226000,0.0382000,0.0223000,0.0683000,0.2114000,0.2937000,0.3413000,0.1500000,0.0604000,1,1.0000000,1,2.9722900,0.0076700,19.6732903
,2,1.6590877,234.3188629,49.5021019,27.8553009,0.0136000,0.0245000,0.0115000,0.0493000,0.1704000,0.2518000,0.2713000,0.1099000,0.0418000,1,1.0000000,1,2.9949901,0.0081300,21.7771301
,2,3.4137540,305.2183228,50.7850990,26.7868996,0.0172000,0.0366000,0.0146000,0.0705000,0.2109000,0.2487000,0.2726000,0.0748000,0.0287000,1,1.0000000,1,2.7348101,0.0145700,16.6854000
,2,7.1133327,111.7694550,50.3251495,28.6492500,0.0143500,0.0309000,0.0201500,0.0552000,0.1683000,0.1991500,0.2305500,0.0979500,0.0427000,1,1.0000000,1,2.5041499,0.0124200,21.5717602
,2,8.7176456,275.3228760,47.9406013,27.5639992,0.0195000,0.0339000,0.0175000,0.0676000,0.2319000,0.3050000,0.0000000,0.1340000,0.0540000,1,1.0000000,1,3.3308401,0.0064100,19.5081005
,2,5.5350070,88.0919113,50.5811005,28.2325993,0.0177000,0.0456000,0.0184000,0.0896000,0.3367000,0.4231000,0.4658000,0.1706000,0.0658000,1,1.0000000,1,3.3368599,0.0060600,19.8554802
,2,6.0215259,295.8369141,49.6446991,26.9969997,0.0226000,0.0335000,0.0204000,0.0653000,0.1879000,0.2376000,0.2788000,0.0848000,0.0300000,1,1.0000000,1,3.1844101,0.0116500,16.2567806
,2,5.0225925,86.6742325,49.1712990,29.0111008,0.0307000,0.0469000,0.0296000,0.0862000,0.2449000,0.2946000,0.3454000,0.1570000,0.0716000,1,1.0000000,1,2.7890301,0.0087300,18.8292007
,2,2.5550084,313.4028931,48.4073982,28.3547993,0.0112000,0.0295000,0.0158000,0.0593000,0.1817000,0.2297000,0.2598000,0.0900000,0.0369000,1,1.0000000,1,2.3420300,0.0132900,22.6971397
,2,7.5787802,111.0918427,50.4397507,28.6570511,0.0110000,0.0217500,0.0106000,0.0349500,0.1500500,0.1871500,0.1995000,0.0732500,0.0305000,1,1.0000000,1,2.2095799,0.0142700,30.0220699
